SHOT_ID,HUMAN PLAYER POSITION (X) metres,HUMAN PLAYER POSITION (Y) metres,INITITAL VELOCITY OF SHUTTELCOCK(m/s),INITIAL SHUTTELCOCK FIRING ANGLE (DEGREE),SHUTTELCOCK SLANT ANGLE TO SIDELINE(DEGREE),SHUTTLECOCK POSITIION IN AIR(X ) metres,SHUTTLECOCK POSITIION IN AIR(Y) metres,SHUTTLECOCK POSITIION IN AIR(Z) metres,OUT_OF_COURT_SHOTS
1,4,1,10,60,0,4.048611835,1.0,2.685944676,1
1,4,1,10,60,0,4.099099479,1.0,2.769759636,1
1,4,1,10,60,0,4.148902434,1.0,2.852236709,1
1,4,1,10,60,0,4.197164029,1.0,2.933739188,1
1,4,1,10,60,0,4.247851456,1.0,3.013860488,1
1,4,1,10,60,0,4.297003424,1.0,3.090768334,1
1,4,1,10,60,0,4.344572119,1.0,3.168501608,1
1,4,1,10,60,0,4.392472178,1.0,3.244212074,1
1,4,1,10,60,0,4.441085847,1.0,3.318107405,1
1,4,1,10,60,0,4.488984422,1.0,3.390900155,1
1,4,1,10,60,0,4.537207277,1.0,3.462542405,1
1,4,1,10,60,0,4.583880356,1.0,3.531532886,1
1,4,1,10,60,0,4.631823413,1.0,3.60149354,1
1,4,1,10,60,0,4.677099367,1.0,3.670373866,1
1,4,1,10,60,0,4.724529294,1.0,3.735302622,1
1,4,1,10,60,0,4.770665238,1.0,3.801869219,1
1,4,1,10,60,0,4.818656244,1.0,3.867397607,1
1,4,1,10,60,0,4.863124988,1.0,3.930257034,1
1,4,1,10,60,0,4.91115213,1.0,3.994752565,1
1,4,1,10,60,0,4.953621942,1.0,4.053282962,1
1,4,1,10,60,0,5.000116479,1.0,4.115326141,1
1,4,1,10,60,0,5.044523601,1.0,4.174371946,1
1,4,1,10,60,0,5.089536652,1.0,4.234070109,1
1,4,1,10,60,0,5.135886556,1.0,4.292871421,1
1,4,1,10,60,0,5.178507166,1.0,4.350014314,1
1,4,1,10,60,0,5.224300913,1.0,4.403945621,1
1,4,1,10,60,0,5.268582682,1.0,4.462780363,1
1,4,1,10,60,0,5.312915262,1.0,4.517312602,1
1,4,1,10,60,0,5.356187919,1.0,4.572645678,1
1,4,1,10,60,0,5.398715894,1.0,4.623945284,1
1,4,1,10,60,0,5.441133556,1.0,4.676423601,1
1,4,1,10,60,0,5.485704148,1.0,4.730759022,1
1,4,1,10,60,0,5.527690922,1.0,4.77873701,1
1,4,1,10,60,0,5.568496857,1.0,4.829725717,1
1,4,1,10,60,0,5.614230859,1.0,4.881262904,1
1,4,1,10,60,0,5.655550285,1.0,4.929981172,1
1,4,1,10,60,0,5.696515425,1.0,4.976040705,1
1,4,1,10,60,0,5.737798251,1.0,5.025754274,1
1,4,1,10,60,0,5.779738003,1.0,5.07261275,1
1,4,1,10,60,0,5.820177432,1.0,5.118430853,1
1,4,1,10,60,0,5.861245048,1.0,5.163650158,1
1,4,1,10,60,0,5.901995634,1.0,5.208765118,1
1,4,1,10,60,0,5.94275893,1.0,5.253902107,1
1,4,1,10,60,0,5.983134784,1.0,5.296939965,1
1,4,1,10,60,0,6.021356544,1.0,5.340777558,1
1,4,1,10,60,0,6.060696155,1.0,5.382474739,1
1,4,1,10,60,0,6.09931063,1.0,5.425100291,1
1,4,1,10,60,0,6.141212416,1.0,5.466429969,1
1,4,1,10,60,0,6.179018754,1.0,5.507457216,1
1,4,1,10,60,0,6.21836147,1.0,5.546804784,1
1,4,1,10,60,0,6.257724057,1.0,5.584860236,1
1,4,1,10,60,0,6.295047226,1.0,5.624223257,1
