SHOT_ID,HUMAN PLAYER POSITION (X) metres,HUMAN PLAYER POSITION (Y) metres,INITITAL VELOCITY OF SHUTTELCOCK(m/s),INITIAL SHUTTELCOCK FIRING ANGLE (DEGREE),SHUTTELCOCK SLANT ANGLE TO SIDELINE(DEGREE),SHUTTLECOCK POSITIION IN AIR(X ) metres,SHUTTLECOCK POSITIION IN AIR(Y) metres,SHUTTLECOCK POSITIION IN AIR(Z) metres,OUT_OF_COURT_SHOTS
1,4,1,10,40,0,4.075542591,1.0,1.662911962,1
1,4,1,10,40,0,4.152006773,1.0,1.72486637,1
1,4,1,10,40,0,4.228906143,1.0,1.788139098,1
1,4,1,10,40,0,4.302099746,1.0,1.845244983,1
1,4,1,10,40,0,4.376877391,1.0,1.904127726,1
1,4,1,10,40,0,4.449410593,1.0,1.962541187,1
1,4,1,10,40,0,4.522097914,1.0,2.018857335,1
1,4,1,10,40,0,4.595428732,1.0,2.071654009,1
1,4,1,10,40,0,4.668033747,1.0,2.127861644,1
1,4,1,10,40,0,4.739584146,1.0,2.178635753,1
1,4,1,10,40,0,4.809587653,1.0,2.233492954,1
1,4,1,10,40,0,4.881531438,1.0,2.28340222,1
1,4,1,10,40,0,4.95120765,1.0,2.332455057,1
1,4,1,10,40,0,5.021340663,1.0,2.379732739,1
1,4,1,10,40,0,5.089209194,1.0,2.430622608,1
1,4,1,10,40,0,5.158574787,1.0,2.475123289,1
1,4,1,10,40,0,5.226182675,1.0,2.522975118,1
1,4,1,10,40,0,5.294275267,1.0,2.565753026,1
1,4,1,10,40,0,5.359640471,1.0,2.608968419,1
1,4,1,10,40,0,5.425936189,1.0,2.653999671,1
1,4,1,10,40,0,5.491976752,1.0,2.694693412,1
1,4,1,10,40,0,5.555443927,1.0,2.736440902,1
1,4,1,10,40,0,5.619701891,1.0,2.777969097,1
1,4,1,10,40,0,5.686355961,1.0,2.816387675,1
1,4,1,10,40,0,5.750565811,1.0,2.856549264,1
1,4,1,10,40,0,5.813225022,1.0,2.894873788,1
1,4,1,10,40,0,5.87702102,1.0,2.931634222,1
1,4,1,10,40,0,5.93744245,1.0,2.967813503,1
1,4,1,10,40,0,5.998026029,1.0,3.00229617,1
1,4,1,10,40,0,6.06018676,1.0,3.037646513,1
1,4,1,10,40,0,6.119851235,1.0,3.071123013,1
1,4,1,10,40,0,6.179717661,1.0,3.104296564,1
1,4,1,10,40,0,6.239443316,1.0,3.136480762,1
