SHOT_ID,HUMAN PLAYER POSITION (X) metres,HUMAN PLAYER POSITION (Y) metres,INITITAL VELOCITY OF SHUTTELCOCK(m/s),INITIAL SHUTTELCOCK FIRING ANGLE (DEGREE),SHUTTELCOCK SLANT ANGLE TO SIDELINE(DEGREE),SHUTTLECOCK POSITIION IN AIR(X ) metres,SHUTTLECOCK POSITIION IN AIR(Y) metres,SHUTTLECOCK POSITIION IN AIR(Z) metres,OUT_OF_COURT_SHOTS
1,4,1,70,70,0,4.235412148,1.0,3.236740114,1
1,4,1,70,70,0,4.468722115,1.0,3.836744306,1
1,4,1,70,70,0,4.695610534,1.0,4.393726969,1
1,4,1,70,70,0,4.913471484,1.0,4.914581109,1
1,4,1,70,70,0,5.1313223,1.0,5.397217407,1
1,4,1,70,70,0,5.343901212,1.0,5.840976936,1
1,4,1,70,70,0,5.549334269,1.0,6.246543916,1
1,4,1,70,70,0,5.751511992,1.0,6.616132768,1
1,4,1,70,70,0,5.94467994,1.0,6.945584826,1
1,4,1,70,70,0,6.136799737,1.0,7.237710633,1
1,4,1,70,70,0,6.321586053,1.0,7.497496594,1
1,4,1,70,70,0,6.500965632,1.0,7.718947632,1
1,4,1,70,70,0,6.676790616,1.0,7.903840618,1
1,4,1,70,70,0,6.848142659,1.0,8.05358268,1
1,4,1,70,70,0,7.011827061,1.0,8.16725457,1
1,4,1,70,70,0,7.16981491,1.0,8.248953272,1
1,4,1,70,70,0,7.322720478,1.0,8.29342843,1
1,4,1,70,70,0,7.473341647,1.0,8.305532775,1
1,4,1,70,70,0,7.617935741,1.0,8.283261318,1
1,4,1,70,70,0,7.756560389,1.0,8.2279706,1
1,4,1,70,70,0,7.891346286,1.0,8.139169753,1
1,4,1,70,70,0,8.018409154,1.0,8.017240188,1
1,4,1,70,70,0,8.140243007,1.0,7.861142999,1
1,4,1,70,70,0,8.259471613,1.0,7.674635501,1
1,4,1,70,70,0,8.372173323,1.0,7.456372708,1
1,4,1,70,70,0,8.481709595,1.0,7.208030682,1
1,4,1,70,70,0,8.582026615,1.0,6.923719827,1
1,4,1,70,70,0,8.6818429,1.0,6.612879316,1
1,4,1,70,70,0,8.770490314,1.0,6.270957732,1
1,4,1,70,70,0,8.859417187,1.0,5.896594392,1
1,4,1,70,70,0,8.940961546,1.0,5.493679458,1
1,4,1,70,70,0,9.020821086,1.0,5.064101695,1
1,4,1,70,70,0,9.092001665,1.0,4.599765741,1
1,4,1,70,70,0,9.159037438,1.0,4.107778327,1
1,4,1,70,70,0,9.220694912,1.0,3.590119336,1
1,4,1,70,70,0,9.274605403,1.0,3.041152327,1
1,4,1,70,70,0,9.327644506,1.0,2.464211385,1
1,4,1,70,70,0,9.373540774,1.0,1.861325774,1
1,4,1,70,70,0,9.413424553,1.0,1.230231996,1
1,4,1,70,70,0,9.448406837,1.0,0.571599901,1
2,4,1,70,70,1,4.237697849,1.004149031,3.23961934,1
2,4,1,70,70,1,4.46889731,1.008184633,3.835686646,1
2,4,1,70,70,1,4.696292056,1.012153823,4.393920142,1
2,4,1,70,70,1,4.91649456,1.015997472,4.914519373,1
2,4,1,70,70,1,5.131115619,1.019743697,5.395696426,1
2,4,1,70,70,1,5.343888192,1.023457656,5.840605639,1
2,4,1,70,70,1,5.549745788,1.027050913,6.246168729,1
2,4,1,70,70,1,5.751190259,1.03056714,6.614711277,1
2,4,1,70,70,1,5.946448521,1.033975385,6.946197063,1
2,4,1,70,70,1,6.13402158,1.037249485,7.238982789,1
2,4,1,70,70,1,6.322384497,1.040537372,7.497910456,1
2,4,1,70,70,1,6.501679082,1.043666971,7.716939962,1
2,4,1,70,70,1,6.675250263,1.046696667,7.904071798,1
2,4,1,70,70,1,6.845604662,1.049670214,8.052998676,1
2,4,1,70,70,1,7.009325546,1.052527973,8.168223416,1
2,4,1,70,70,1,7.171503804,1.055358805,8.247387101,1
2,4,1,70,70,1,7.322870877,1.058000927,8.293166834,1
2,4,1,70,70,1,7.473880974,1.060636818,8.305814343,1
2,4,1,70,70,1,7.619654681,1.063181307,8.280992557,1
2,4,1,70,70,1,7.757489749,1.065587228,8.22687435,1
2,4,1,70,70,1,7.888539718,1.067874713,8.13741407,1
2,4,1,70,70,1,8.017208239,1.070120631,8.01849984,1
2,4,1,70,70,1,8.14226384,1.072303484,7.861812974,1
2,4,1,70,70,1,8.260490923,1.074367146,7.674290567,1
2,4,1,70,70,1,8.37414654,1.076351012,7.455986541,1
2,4,1,70,70,1,8.480147184,1.07820126,7.207188036,1
2,4,1,70,70,1,8.581590256,1.079971955,6.924083592,1
2,4,1,70,70,1,8.681516911,1.081716182,6.611594778,1
2,4,1,70,70,1,8.772017772,1.08329588,6.271325478,1
2,4,1,70,70,1,8.857790294,1.084793045,5.898212622,1
2,4,1,70,70,1,8.942340031,1.086268866,5.494857238,1
2,4,1,70,70,1,9.020524963,1.087633589,5.062673495,1
2,4,1,70,70,1,9.091758102,1.088876968,4.598984423,1
2,4,1,70,70,1,9.159344166,1.090056687,4.109169077,1
2,4,1,70,70,1,9.218588101,1.091090794,3.589777758,1
2,4,1,70,70,1,9.275254294,1.092079906,3.042307662,1
2,4,1,70,70,1,9.325025154,1.09294866,2.465053401,1
2,4,1,70,70,1,9.373128708,1.09378831,1.861108649,1
2,4,1,70,70,1,9.413258043,1.094488771,1.230992413,1
2,4,1,70,70,1,9.449504853,1.095121461,0.571334011,1
3,4,1,70,70,2,4.23621822,1.008248922,3.238244184,1
3,4,1,70,70,2,4.469332248,1.016389443,3.835698693,1
3,4,1,70,70,2,4.695630436,1.02429195,4.396051378,1
3,4,1,70,70,2,4.915173129,1.03195855,4.916259578,1
3,4,1,70,70,2,5.13259413,1.039551059,5.397705904,1
3,4,1,70,70,2,5.342893608,1.046894878,5.839812499,1
3,4,1,70,70,2,5.54885011,1.054087038,6.244830319,1
3,4,1,70,70,2,5.749462033,1.06109256,6.61329672,1
3,4,1,70,70,2,5.946310398,1.067966657,6.945777615,1
3,4,1,70,70,2,6.13669102,1.074614895,7.239627234,1
3,4,1,70,70,2,6.320834334,1.081045321,7.49533095,1
3,4,1,70,70,2,6.500257339,1.08731091,7.718692833,1
3,4,1,70,70,2,6.676562245,1.093467613,7.903483455,1
3,4,1,70,70,2,6.847684582,1.099443337,8.054340919,1
3,4,1,70,70,2,7.009562802,1.105096249,8.168427806,1
3,4,1,70,70,2,7.169315381,1.110674932,8.249413282,1
3,4,1,70,70,2,7.324066293,1.116078953,8.29327637,1
3,4,1,70,70,2,7.472940335,1.121277749,8.305355879,1
3,4,1,70,70,2,7.617554543,1.126327788,8.283833305,1
3,4,1,70,70,2,7.756342826,1.131174382,8.226083434,1
3,4,1,70,70,2,7.889293651,1.135817127,8.139493866,1
3,4,1,70,70,2,8.020501784,1.140399016,8.015484145,1
3,4,1,70,70,2,8.141532475,1.144625501,7.861070049,1
3,4,1,70,70,2,8.259757953,1.148754026,7.675361952,1
3,4,1,70,70,2,8.373737625,1.152734283,7.45623353,1
3,4,1,70,70,2,8.481520735,1.156498153,7.206215468,1
3,4,1,70,70,2,8.585203218,1.160118825,6.924540256,1
3,4,1,70,70,2,8.679689617,1.163418362,6.613274502,1
3,4,1,70,70,2,8.77189334,1.166638187,6.271858954,1
3,4,1,70,70,2,8.85904931,1.169681741,5.900187117,1
3,4,1,70,70,2,8.943597367,1.172634224,5.492573121,1
3,4,1,70,70,2,9.019172951,1.175273382,5.063524022,1
3,4,1,70,70,2,9.090299019,1.177757159,4.598956569,1
3,4,1,70,70,2,9.15700606,1.18008662,4.108761961,1
3,4,1,70,70,2,9.217802832,1.18220969,3.590166229,1
3,4,1,70,70,2,9.27754423,1.184295906,3.041146028,1
3,4,1,70,70,2,9.325486771,1.185970096,2.464403224,1
3,4,1,70,70,2,9.371763485,1.187586114,1.862578516,1
3,4,1,70,70,2,9.412828112,1.189020123,1.230411013,1
3,4,1,70,70,2,9.448375568,1.190261467,0.572287441,1
4,4,1,70,70,3,4.237625452,1.012453422,3.237602867,1
4,4,1,70,70,3,4.466327408,1.024439184,3.837413765,1
4,4,1,70,70,3,4.695754439,1.036462945,4.395768194,1
4,4,1,70,70,3,4.918479245,1.048135458,4.918176398,1
4,4,1,70,70,3,5.132538032,1.059353803,5.397512671,1
4,4,1,70,70,3,5.343570763,1.07041356,5.840017007,1
