HUMAN PLAYER POSITION (X) metres,HUMAN PLAYER POSITION (Y) metres,INITITAL VELOCITY OF SHUTTELCOCK(m/s),INITIAL SHUTTELCOCK FIRING ANGLE (DEGREE),SHUTTELCOCK SLANT ANGLE TO SIDELINE(DEGREE),SHUTTLECOCK POSITIION IN AIR(X ) metres,SHUTTLECOCK POSITIION IN AIR(Y) metres,SHUTTLECOCK POSITIION IN AIR(Z) metres,SHOT_ID
4,1,70,70,0,4.238069137,1.0,2.238162451,501
4,1,70,70,0,4.467682957,1.0,2.837570563,501
4,1,70,70,0,4.694653024,1.0,3.393931035,501
4,1,70,70,0,4.916077924,1.0,3.915873407,501
4,1,70,70,0,5.131731771,1.0,4.395242896,501
4,1,70,70,0,5.343258766,1.0,4.838360029,501
4,1,70,70,0,5.548661322,1.0,5.245580989,501
4,1,70,70,0,5.751224308,1.0,5.615240645,501
4,1,70,70,0,5.945486376,1.0,5.944791707,501
4,1,70,70,0,6.13642846,1.0,6.238408975,501
4,1,70,70,0,6.32013032,1.0,6.494994266,501
4,1,70,70,0,6.502587045,1.0,6.717710817,501
4,1,70,70,0,6.678313032,1.0,6.902707263,501
4,1,70,70,0,6.846798111,1.0,7.054449666,501
4,1,70,70,0,7.011681243,1.0,7.167061496,501
4,1,70,70,0,7.170578299,1.0,7.248567406,501
4,1,70,70,0,7.323636312,1.0,7.293010895,501
4,1,70,70,0,7.47287698,1.0,7.305842576,501
4,1,70,70,0,7.618578278,1.0,7.282244809,501
4,1,70,70,0,7.756220742,1.0,7.226070593,501
4,1,70,70,0,7.890429983,1.0,7.137350448,501
4,1,70,70,0,8.018379293,1.0,7.017503974,501
4,1,70,70,0,8.142272231,1.0,6.860826708,501
4,1,70,70,0,8.259534642,1.0,6.675843639,501
4,1,70,70,0,8.372674971,1.0,6.456533949,501
4,1,70,70,0,8.481810249,1.0,6.208750165,501
4,1,70,70,0,8.582415637,1.0,5.923120957,501
4,1,70,70,0,8.680469647,1.0,5.612044889,501
4,1,70,70,0,8.773668639,1.0,5.270598996,501
4,1,70,70,0,8.860591638,1.0,4.896680743,501
4,1,70,70,0,8.941605148,1.0,4.494700589,501
4,1,70,70,0,9.018438613,1.0,4.062892578,501
4,1,70,70,0,9.092230256,1.0,3.600507733,501
4,1,70,70,0,9.158439423,1.0,3.107881618,501
4,1,70,70,0,9.220755609,1.0,2.591046975,501
4,1,70,70,0,9.274515782,1.0,2.041818119,501
4,1,70,70,0,9.32504582,1.0,1.46418765,501
4,1,70,70,0,9.373883289,1.0,0.861220207,501
4,1,70,70,0,9.413617247,1.0,0.230482553,501
4,1,70,70,1,4.234493062,1.004093092,2.23678444,503
4,1,70,70,1,4.467598229,1.008161957,2.835213329,503
4,1,70,70,1,4.694653797,1.012125227,3.396927177,503
