SHOT_ID,HUMAN PLAYER POSITION (X) metres,HUMAN PLAYER POSITION (Y) metres,INITITAL VELOCITY OF SHUTTELCOCK(m/s),INITIAL SHUTTELCOCK FIRING ANGLE (DEGREE),SHUTTELCOCK SLANT ANGLE TO SIDELINE(DEGREE),SHUTTLECOCK POSITIION IN AIR(X ) metres,SHUTTLECOCK POSITIION IN AIR(Y) metres,SHUTTLECOCK POSITIION IN AIR(Z) metres
25100001,4,1,70,70,0,4.238069137,1.0,2.238162451
25100002,4,1,70,70,0,4.467682957,1.0,2.837570563
25100003,4,1,70,70,0,4.694653024,1.0,3.393931035
25100004,4,1,70,70,0,4.916077924,1.0,3.915873407
25100005,4,1,70,70,0,5.131731771,1.0,4.395242896
25100006,4,1,70,70,0,5.343258766,1.0,4.838360029
25100007,4,1,70,70,0,5.548661322,1.0,5.245580989
25100008,4,1,70,70,0,5.751224308,1.0,5.615240645
25100009,4,1,70,70,0,5.945486376,1.0,5.944791707
25100010,4,1,70,70,0,6.13642846,1.0,6.238408975
25100011,4,1,70,70,0,6.32013032,1.0,6.494994266
25100012,4,1,70,70,0,6.502587045,1.0,6.717710817
25100013,4,1,70,70,0,6.678313032,1.0,6.902707263
25100014,4,1,70,70,0,6.846798111,1.0,7.054449666
25100015,4,1,70,70,0,7.011681243,1.0,7.167061496
25100016,4,1,70,70,0,7.170578299,1.0,7.248567406
25100017,4,1,70,70,0,7.323636312,1.0,7.293010895
25100018,4,1,70,70,0,7.47287698,1.0,7.305842576
25100019,4,1,70,70,0,7.618578278,1.0,7.282244809
25100020,4,1,70,70,0,7.756220742,1.0,7.226070593
25100021,4,1,70,70,0,7.890429983,1.0,7.137350448
25100022,4,1,70,70,0,8.018379293,1.0,7.017503974
25100023,4,1,70,70,0,8.142272231,1.0,6.860826708
25100024,4,1,70,70,0,8.259534642,1.0,6.675843639
25100025,4,1,70,70,0,8.372674971,1.0,6.456533949
25100026,4,1,70,70,0,8.481810249,1.0,6.208750165
25100027,4,1,70,70,0,8.582415637,1.0,5.923120957
25100028,4,1,70,70,0,8.680469647,1.0,5.612044889
25100029,4,1,70,70,0,8.773668639,1.0,5.270598996
25100030,4,1,70,70,0,8.860591638,1.0,4.896680743
25100031,4,1,70,70,0,8.941605148,1.0,4.494700589
25100032,4,1,70,70,0,9.018438613,1.0,4.062892578
25100033,4,1,70,70,0,9.092230256,1.0,3.600507733
25100034,4,1,70,70,0,9.158439423,1.0,3.107881618
25100035,4,1,70,70,0,9.220755609,1.0,2.591046975
25100036,4,1,70,70,0,9.274515782,1.0,2.041818119
25100037,4,1,70,70,0,9.32504582,1.0,1.46418765
25100038,4,1,70,70,0,9.373883289,1.0,0.861220207
25100039,4,1,70,70,0,9.413617247,1.0,0.230482553
25200001,4,1,70,70,1,4.234493062,1.004093092,2.23678444
25200002,4,1,70,70,1,4.467598229,1.008161957,2.835213329
25200003,4,1,70,70,1,4.694653797,1.012125227,3.396927177
25200004,4,1,70,70,1,4.915595644,1.015981781,3.916117046
25200005,4,1,70,70,1,5.133033825,1.019777179,4.396808152
25200006,4,1,70,70,1,5.341196495,1.023410672,4.843520149
25200007,4,1,70,70,1,5.551570638,1.027082766,5.247819889
25200008,4,1,70,70,1,5.749238905,1.030533079,5.614075817
25200009,4,1,70,70,1,5.945701338,1.033962343,5.945950286
25200010,4,1,70,70,1,6.137421955,1.037308839,6.23859186
25200011,4,1,70,70,1,6.320677081,1.040507569,6.496149075
25200012,4,1,70,70,1,6.502879512,1.043687924,6.718755778
25200013,4,1,70,70,1,6.674586451,1.04668508,6.902612028
25200014,4,1,70,70,1,6.845743638,1.04967264,7.053529437
25200015,4,1,70,70,1,7.01273463,1.052587479,7.168122107
25200016,4,1,70,70,1,7.169362739,1.055321432,7.24921382
25200017,4,1,70,70,1,7.324886403,1.058036108,7.292803183
25200018,4,1,70,70,1,7.474050903,1.060639784,7.305566459
25200019,4,1,70,70,1,7.617110558,1.0631369,7.283720505
25200020,4,1,70,70,1,7.756868819,1.065576389,7.229018997
25200021,4,1,70,70,1,7.890914383,1.067916163,7.137907487
25200022,4,1,70,70,1,8.018462718,1.070142528,7.018007139
25200023,4,1,70,70,1,8.142269368,1.072303581,6.859506895
25200024,4,1,70,70,1,8.25899318,1.074341002,6.676622422
25200025,4,1,70,70,1,8.37194945,1.076312662,6.456914488
25200026,4,1,70,70,1,8.481401797,1.078223159,6.206997283
25200027,4,1,70,70,1,8.581513585,1.079970617,5.925732221
25200028,4,1,70,70,1,8.680132049,1.081692009,5.615117403
25200029,4,1,70,70,1,8.773815648,1.083327262,5.269916415
25200030,4,1,70,70,1,8.859665963,1.084825785,4.896439919
25200031,4,1,70,70,1,8.943981952,1.086297526,4.494871802
25200032,4,1,70,70,1,9.01919182,1.087610319,4.062266579
25200033,4,1,70,70,1,9.089942023,1.088845268,3.600882539
25200034,4,1,70,70,1,9.158429307,1.090040718,3.110059393
25200035,4,1,70,70,1,9.219316535,1.091103509,2.591508549
25200036,4,1,70,70,1,9.274493798,1.092066632,2.04249721
25200037,4,1,70,70,1,9.325991149,1.092965521,1.464898105
25200038,4,1,70,70,1,9.373804961,1.093800115,0.859862908
25200039,4,1,70,70,1,9.413317601,1.09448981,0.229258222
25300001,4,1,70,70,2,4.237112599,1.008280154,2.237055947
25300002,4,1,70,70,2,4.469055662,1.016379785,2.836115547
25300003,4,1,70,70,2,4.693823916,1.024228865,3.39489905
25300004,4,1,70,70,2,4.916922846,1.032019651,3.916798924
25300005,4,1,70,70,2,5.133846214,1.039594782,4.396385991
25300006,4,1,70,70,2,5.343967856,1.046932392,4.841436221
25300007,4,1,70,70,2,5.549621212,1.054113965,5.246887431
25300008,4,1,70,70,2,5.752038978,1.061182549,5.613346831
25300009,4,1,70,70,2,5.946587935,1.067976349,5.944281275
25300010,4,1,70,70,2,6.137410084,1.074640005,6.239151042
25300011,4,1,70,70,2,6.319497001,1.08099862,6.496296402
25300012,4,1,70,70,2,6.500106447,1.087305641,6.716816681
25300013,4,1,70,70,2,6.678047399,1.093519476,6.902164125
25300014,4,1,70,70,2,6.845704278,1.099374183,7.053916923
25300015,4,1,70,70,2,7.009494419,1.105093861,7.168926279
25300016,4,1,70,70,2,7.170295147,1.110709146,7.249498488
25300017,4,1,70,70,2,7.324207971,1.1160839,7.293741618
25300018,4,1,70,70,2,7.470348035,1.121187224,7.306075635
25300019,4,1,70,70,2,7.617032805,1.126309569,7.283393513
25300020,4,1,70,70,2,7.756120741,1.131166627,7.225712706
25300021,4,1,70,70,2,7.891281918,1.135886559,7.14025776
25300022,4,1,70,70,2,8.017125874,1.140281127,7.017921091
25300023,4,1,70,70,2,8.142512373,1.14465972,6.861122695
25300024,4,1,70,70,2,8.259271924,1.148737053,6.67514625
25300025,4,1,70,70,2,8.373741301,1.152734412,6.457828693
25300026,4,1,70,70,2,8.481853321,1.156509767,6.206427386
25300027,4,1,70,70,2,8.583199805,1.160048864,5.92682916
25300028,4,1,70,70,2,8.681344938,1.163476167,5.614963122
25300029,4,1,70,70,2,8.773280104,1.166686614,5.27208088
25300030,4,1,70,70,2,8.860843803,1.169744406,4.897260171
25300031,4,1,70,70,2,8.942208041,1.172585708,4.49436416
25300032,4,1,70,70,2,9.019368689,1.175280217,4.063512247
25300033,4,1,70,70,2,9.090942975,1.177779646,3.600534981
25300034,4,1,70,70,2,9.156957633,1.180084929,3.107361918
25300035,4,1,70,70,2,9.217938879,1.182214441,2.588950875
25300036,4,1,70,70,2,9.276543122,1.184260946,2.041877543
25300037,4,1,70,70,2,9.325670679,1.185976518,1.464949852
25300038,4,1,70,70,2,9.371290933,1.187569613,0.862154429
25300039,4,1,70,70,2,9.414053969,1.189062931,0.229982098
25400001,4,1,70,70,3,4.238036166,1.012474947,2.236905028
25400002,4,1,70,70,3,4.467255847,1.024487841,2.835401653
25400003,4,1,70,70,3,4.694630279,1.03640403,3.395106621
25400004,4,1,70,70,3,4.91745157,1.048081599,3.91453889
25400005,4,1,70,70,3,5.13108948,1.059277888,4.395779439
25400006,4,1,70,70,3,5.345493559,1.070514329,4.840012209
25400007,4,1,70,70,3,5.550684333,1.081267922,5.24607654
25400008,4,1,70,70,3,5.749126681,1.091667845,5.614964923
25400009,4,1,70,70,3,5.944660194,1.101915322,5.946404797
25400010,4,1,70,70,3,6.136314176,1.111959482,6.238820462
25400011,4,1,70,70,3,6.322383518,1.121710963,6.498217187
25400012,4,1,70,70,3,6.500639505,1.131052963,6.717921998
25400013,4,1,70,70,3,6.673726752,1.140124081,6.904442806
25400014,4,1,70,70,3,6.847917914,1.149253053,7.052347001
25400015,4,1,70,70,3,7.010852949,1.157792117,7.168995609
25400016,4,1,70,70,3,7.169328486,1.166097468,7.250115145
